model_key,model,seed,aligned_run_id,permuted_run_id,aligned_raw,permuted_raw,delta_raw,aligned_binary,permuted_binary,delta_binary,paired_rate_binary,aligned_blend1_50,permuted_blend1_50,delta_blend1_50,paired_rate_blend1_50,aligned_uniform2,permuted_uniform2,delta_uniform2,paired_rate_uniform2,permuted_learning_gain,rate90_scored_point,rate90_effective_bpv,aligned_half_bit_task_status
mistral_7b_base,Mistral-7B-v0.1,11,sup-full__mistral-7b-base__cot-math__all-linear-r16__s11__b8a65ecda2,trace-permuted-full__mistral-7b-base__cot-math-permuted__all-linear-r16__s11__7a71255b57,0.699772554966,0.147839272176,0.551933282790,0.595147839272,0.279757391964,0.315390447309,1.022471809387,0.628506444276,0.137983320697,0.490523123578,1.506785774231,0.664139499621,0.144806671721,0.519332827900,1.972897338867,0.861692788390,uniform2,1.972897338867,missing
mistral_7b_base,Mistral-7B-v0.1,22,sup-full__mistral-7b-base__cot-math__all-linear-r16__s22__6dfac4689b,trace-permuted-full__mistral-7b-base__cot-math-permuted__all-linear-r16__s22__2e4b966123,0.683093252464,0.170583775588,0.512509476876,0.592873388931,0.260045489007,0.332827899924,1.022491073608,0.650492797574,0.147081122062,0.503411675512,1.506967926025,0.683851402578,0.159211523882,0.524639878696,1.973234939575,0.848295622279,blend1_50,1.506967926025,missing
mistral_7b_base,Mistral-7B-v0.1,33,sup-full__mistral-7b-base__cot-math__all-linear-r16__s33__76195e5d01,trace-permuted-full__mistral-7b-base__cot-math-permuted__all-linear-r16__s33__56ee663da8,0.684609552691,0.153904473086,0.530705079606,0.591357088704,0.186504927976,0.404852160728,1.022438621521,0.648218347233,0.143290371494,0.504927975739,1.506809425354,0.670204700531,0.155420773313,0.514783927218,1.972594261169,0.873068829291,blend1_50,1.506809425354,missing
qwen25_7b_base,Qwen2.5-7B,11,qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s11__738b8f7b67,trace-permuted-full__qwen25-7b-base__cot-math-permuted__all-linear-r16__s11__4cb8d87ae9,0.830174374526,0.235026535254,0.595147839272,0.835481425322,0.567096285064,0.268385140258,1.020530601601,0.832448824867,0.269901440485,0.562547384382,1.500410203810,0.830932524640,0.233510235027,0.597422289613,1.962996842025,0.481850530475,blend1_50,1.500410203810,missing
qwen25_7b_base,Qwen2.5-7B,22,qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s22__fde6bef701,trace-permuted-full__qwen25-7b-base__cot-math-permuted__all-linear-r16__s22__e4b91b820b,0.833965125095,0.244124336619,0.589840788476,0.819560272934,0.651250947688,0.168309325246,1.020529808936,0.827899924185,0.260045489007,0.567854435178,1.500093534395,0.837755875663,0.238059135709,0.599696739955,1.962716437005,0.445877374653,blend1_50,1.500093534395,missing
qwen25_7b_base,Qwen2.5-7B,33,qwen-sup-full__qwen25-7b-base__cot-math__all-linear-r16__s33__d9a68500a9,trace-permuted-full__qwen25-7b-base__cot-math-permuted__all-linear-r16__s33__347ec18132,0.832448824867,0.231993934799,0.600454890068,0.816527672479,0.756633813495,0.059893858984,1.020496517033,0.827899924185,0.291129643669,0.536770280516,1.500405844156,0.832448824867,0.223654283548,0.608794541319,1.962959190468,0.458130378216,uniform2,1.962959190468,missing
llama31_8b_base,Llama-3.1-8B,11,llama-cot-full__llama31-8b-base__cot-math__all-linear-r16__s11__0f9a06e1ed,trace-permuted-full__llama31-8b-base__cot-math-permuted__all-linear-r16__s11__ca01431d31,0.735405610311,0.198635329795,0.536770280516,0.655799848370,0.329037149356,0.326762699014,1.022550201416,0.702805155421,0.190295678544,0.512509476876,1.506625747681,0.729340409401,0.188779378317,0.540561031084,1.971531105042,0.908840034340,blend1_50,1.506625747681,scored
llama31_8b_base,Llama-3.1-8B,22,llama-cot-full__llama31-8b-base__cot-math__all-linear-r16__s22__352084836d,trace-permuted-full__llama31-8b-base__cot-math-permuted__all-linear-r16__s22__2fe81169ea,0.728582259287,0.197877179682,0.530705079606,0.649734647460,0.294162244124,0.355572403336,1.022550582886,0.699772554966,0.120545868082,0.579226686884,1.506586647034,0.716451857468,0.194844579227,0.521607278241,1.971338081360,0.894449897383,blend1_50,1.506586647034,scored
llama31_8b_base,Llama-3.1-8B,33,llama-cot-full__llama31-8b-base__cot-math__all-linear-r16__s33__1eafa363c6,trace-permuted-full__llama31-8b-base__cot-math-permuted__all-linear-r16__s33__49b00b39cb,0.731614859742,0.196360879454,0.535253980288,0.664139499621,0.416982562547,0.247156937074,1.022554779053,0.698256254738,0.203184230478,0.495072024261,1.506740188599,0.721000758150,0.197877179682,0.523123578469,1.971664047241,0.903155911048,blend1_50,1.506740188599,scored
