block,model_key,study,dataset_key,seeds,r_star_bits_per_value,correction_information_area,base_codelength_bits_per_token
cot_mistral,mistral_7b_base,sup_answer,cot_math,3,0.16890719701544876,1695.4307431877926,2.476351099355728
cot_mistral,mistral_7b_base,sup_full,cot_math,3,0.9859130421582645,1688.29598479585,0.9917480907946205
cot_mistral,mistral_7b_base,sup_reasoning,cot_math,3,0.7221458975897846,1685.4099930481398,0.9035243053222075
cot_qwen,qwen25_7b_base,qwen_sup_answer,cot_math,2,0.17140519362516157,307.3375381529052,0.01782842119697902
cot_qwen,qwen25_7b_base,qwen_sup_full,cot_math,3,0.47467351483632053,1460.5870562242064,0.40593840965690714
cot_qwen,qwen25_7b_base,qwen_sup_reasoning,cot_math,3,0.42997816590836085,1472.2481976825577,0.425776446890571
fixed_compute_rows,mistral_7b_base,arm_a,arm_a,6,0.7853265470977294,1391.0803459565777,0.9967043793294579
fixed_compute_rows,mistral_7b_base,arm_b,arm_b,6,0.7419084623615614,1485.4888480699858,0.992305120302165
fixed_compute_rows,mistral_7b_base,arm_c,arm_c,6,0.8382688954264457,1586.275322381127,0.9980159046632858
fixed_compute_rows,mistral_7b_base,arm_d,arm_d,6,0.9890511453748932,1686.466556282301,0.9811030550530025
fixed_compute_rows,mistral_7b_base,arm_e,arm_e,6,0.7164861767303101,1289.8806022031165,0.9986476363458981
fixed_row_content,mistral_7b_base,div_1200,lever_div_1200,6,0.7125132418478503,1483.6179260472643,0.9769256077415776
fixed_row_content,mistral_7b_base,div_3600,lever_div_3600,6,0.7455035284193694,1484.152804136691,1.0062708203560213
fixed_row_content,mistral_7b_base,div_400,lever_div_400,6,0.682210107245463,1483.723473794166,0.9908725047716871
response_form,mistral_7b_base,numbered_broad,behav_numbered_broad,3,0.72294926217242,1476.0843043445286,1.128721659801736
response_form,mistral_7b_base,numbered_narrow,behav_numbered_narrow,3,0.6894029689429493,1472.8442300212348,1.1344199801484744
response_form,mistral_7b_base,plain_broad,behav_plain_broad,3,0.7356339443299124,1482.5084261915001,0.9949563950926424
response_form,mistral_7b_base,plain_narrow,behav_plain_narrow,3,0.683607076572487,1485.8840668033124,0.9977098065428436
response_form,mistral_7b_base,preamble_broad,behav_preamble_broad,3,0.7530075338785348,1489.9381649940879,1.3787658677570327
response_form,mistral_7b_base,preamble_narrow,behav_preamble_narrow,3,0.7270477690599385,1489.2056945927627,1.3686126307584345
response_form,mistral_7b_base,shouted_broad,behav_shouted_broad,3,0.7250902827099646,1444.0502332966305,0.9312526313647371
response_form,mistral_7b_base,shouted_narrow,behav_shouted_narrow,3,0.6643631204153773,1440.7981761026167,0.9376755978058403
response_form,mistral_7b_base,symbolic_broad,behav_symbolic_broad,3,0.9808301856792575,1518.2174296416695,1.5281166224090652
response_form,mistral_7b_base,symbolic_narrow,behav_symbolic_narrow,3,0.9358677915059633,1517.6689265975722,1.53399220687182
