baseline_heldout_bits,blend,ceiling_heldout_bits_saved,dataset_key,effective_bits_per_value,file_bits,heldout_bits_saved,heldout_total_bits,model_key,nominal_bits,rank,relative_rmse,retained_of_trained_gain,run_id,seed,tensor_values,trained_rank
129597.37768398342,0.5,7875.853870785242,kind_code,0.2601270799512987,656336,0.0,129597.37768398342,qwen25_7b_base,0,1,1.0,0.0,qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,11,2523136,16
129597.37768398342,0.5,7875.853870785242,kind_code,1.2770647321428572,3222208,6922.381666236994,122674.99601774642,qwen25_7b_base,1,1,0.6051521816472268,0.8789372910935961,qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,11,2523136,16
117703.73424485848,0.5,7886.722978087564,kind_code,1.2770647321428572,3222208,6930.894503647345,110772.83974121114,qwen25_7b_base,1,1,0.6043164265811595,0.8788053698480486,qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,22,2523136,16
122189.2573357078,0.5,7716.949080889768,kind_code,1.2770647321428572,3222208,7047.600884868341,115141.65645083947,qwen25_7b_base,1,1,0.6045690474350984,0.9132625874545423,qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s33__c104401224,33,2523136,16
148802.88954108718,0.5,16856.782313231583,kind_code,1.3053253173828125,3421832,10192.223765911855,138610.66577517532,mistral_7b_base,1,1,0.6034042966596613,0.6046363758231343,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
43748.91292806375,0.5,28124.010657685045,panel_math,1.3053314208984375,3421848,14072.418064686219,29676.49486337753,mistral_7b_base,1,1,0.6054179827817988,0.5003702436316938,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,11,2621440,16
45052.182987960645,0.5,29159.186142435676,panel_math,1.3053314208984375,3421848,14464.905575180765,30587.27741277988,mistral_7b_base,1,1,0.6052199079866412,0.49606684852324573,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,2621440,16
43924.1359870331,0.0,29575.761486363277,panel_math,2.222247314453125,5825488,20841.49791251637,23082.63807451673,mistral_7b_base,2,1,0.3470644561187112,0.7046817009978228,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,2621440,16
43748.91292806375,0.0,28124.010657685045,panel_math,2.222564697265625,5826320,21364.858833713388,22384.054094350362,mistral_7b_base,2,1,0.34693366345964893,0.7596661476827922,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,11,2621440,16
43924.1359870331,0.0,29575.761486363277,panel_math,3.077740478515625,8068112,21763.365477229836,22160.770509803264,mistral_7b_base,3,1,0.20584000398827937,0.7358513993718957,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,2621440,16
43748.91292806375,0.0,28124.010657685045,panel_math,3.0779052734375,8068544,22510.116073976285,21238.796854087464,mistral_7b_base,3,1,0.2061387587851078,0.8003878375655952,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,11,2621440,16
45052.182987960645,0.5,29159.186142435676,panel_math,1.6339462280273438,8566584,22975.159593765507,22077.023394195137,mistral_7b_base,1,2,0.4928633233223509,0.7879218398461921,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,5242880,16
43924.1359870331,0.0,29575.761486363277,panel_math,2.07181396484375,10862272,24673.08490155055,19251.05108548255,mistral_7b_base,2,2,0.34611506187845503,0.8342332931284544,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,5242880,16
45052.182987960645,0.0,29159.186142435676,panel_math,2.072027587890625,10863392,25326.50886528027,19725.674122680375,mistral_7b_base,2,2,0.34635446509859313,0.868560210890877,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,5242880,16
43924.1359870331,0.0,29575.761486363277,panel_math,2.9295257568359374,15359152,25596.7539003248,18327.3820867083,mistral_7b_base,3,2,0.2048481302178148,0.8654639006379223,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,5242880,16
45052.182987960645,0.0,29159.186142435676,panel_math,2.929606628417969,15359576,26409.961687612,18642.221300348643,mistral_7b_base,3,2,0.20501566986920777,0.9057166945128589,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,5242880,16
45052.182987960645,0.5,29159.186142435676,panel_math,1.5599647521972657,16357416,26531.483198310456,18520.69978965019,mistral_7b_base,1,4,0.4914178260028351,0.9098842151735814,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,10485760,16
45052.182987960645,0.0,29159.186142435676,panel_math,3.42000732421875,17930688,26714.164888937536,18338.01809902311,mistral_7b_base,4,2,0.12947298304177818,0.9161491942348873,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,5242880,16
43924.1359870331,0.0,29575.761486363277,panel_math,1.9977073669433594,20947480,27999.802154478515,15924.333832554583,mistral_7b_base,2,4,0.3451374491472663,0.9467144968486644,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,10485760,16
45052.182987960645,0.0,29159.186142435676,panel_math,1.9979446411132813,20949968,28135.815171004437,16916.367816956208,mistral_7b_base,2,4,0.3452588326129674,0.9649039940129908,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,10485760,16
45052.182987960645,0.0,29159.186142435676,panel_math,2.856214904785156,29949584,28856.90619802827,16195.276789932375,mistral_7b_base,3,4,0.20413825765736307,0.9896334574315333,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,10485760,16
45052.182987960645,0.0,29159.186142435676,panel_math,3.350965118408203,35137416,29048.35501496974,16003.827972990905,mistral_7b_base,4,4,0.12852538219291249,0.9961991007936727,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,22,10485760,16
43924.1359870331,0.0,29575.761486363277,panel_math,1.9612197875976562,41129760,29869.692875745975,14054.443111287124,mistral_7b_base,2,8,0.34421138818019903,1.009938252630223,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,20971520,16
43924.1359870331,0.0,29575.761486363277,panel_math,2.8216121673583983,59173496,30133.30350685769,13790.83248017541,mistral_7b_base,3,8,0.20318046019484368,1.018851315823313,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,20971520,16
43924.1359870331,0.0,29575.761486363277,panel_math,3.3235382080078124,69699648,30153.15850373917,13770.977483293931,mistral_7b_base,4,8,0.12748026874711232,1.0195226424733685,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,20971520,16
43924.1359870331,0.0,29575.761486363277,panel_math,1.9429325103759765,81492496,30155.557297781917,13768.578689251182,mistral_7b_base,2,16,0.34365394939331206,1.019603749228434,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,41943040,16
43924.1359870331,0.0,29575.761486363277,panel_math,7.18938102722168,150772248,30171.980971969802,13752.1550150633,mistral_7b_base,8,8,0.00879979978810702,1.020159057810952,mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,33,20971520,16
