baseline_heldout_bits,blend,ceiling_heldout_bits_saved,dataset_key,effective_bits_per_value,file_bits,heldout_bits_saved,heldout_total_bits,model_key,nominal_bits,rank,relative_rmse,retained_of_trained_gain,run_id,seed,tensor_values,trained_rank
148802.88954108718,0.25,16856.782313231583,kind_code,0.27252674102783203,11430600,6739.937077771698,142062.95246331548,mistral_7b_base,0,16,0.9179014299882894,0.39983532755721973,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.5,16856.782313231583,kind_code,0.5234720230102539,21956008,11346.433477074112,137456.45606401307,mistral_7b_base,0,16,0.8257062277062048,0.6731079079171491,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.75,16856.782313231583,kind_code,0.7742412567138672,32474032,14481.370062012575,134321.5194790746,mistral_7b_base,0,16,0.7205835018306961,0.8590826999436038,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.0,16856.782313231583,kind_code,1.0225303649902344,42888032,15813.00724694485,132989.88229414233,mistral_7b_base,1,16,0.6004382876757828,0.9380798157743645,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.5,16856.782313231583,kind_code,1.4990478515625,62874624,17039.209339774476,131763.6802013127,mistral_7b_base,1,16,0.48942569978651523,1.0108221737193401,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.0,16856.782313231583,kind_code,1.945528221130371,81601368,17295.64424384205,131507.24529724513,mistral_7b_base,2,16,0.34219534717558553,1.0260347391605091,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.0,16856.782313231583,kind_code,2.8091667175292967,117824992,17050.817149796494,131752.07239129068,mistral_7b_base,3,16,0.2014738295730517,1.011510787347156,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.0,16856.782313231583,kind_code,3.322208213806152,139343512,16936.892527243326,131865.99701384385,mistral_7b_base,4,16,0.1259033250938533,1.0047524024765309,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.0,16856.782313231583,kind_code,7.197848320007324,301899640,16858.216373625502,131944.67316746167,mistral_7b_base,8,16,0.008659531673878458,1.0000850731988629,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,41943040,16
148802.88954108718,0.25,16856.782313231583,kind_code,0.2865020751953125,751048,0.0,148802.88954108718,mistral_7b_base,0,1,1.0,0.0,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.5,16856.782313231583,kind_code,0.2864990234375,751040,0.0,148802.88954108718,mistral_7b_base,0,1,1.0,0.0,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.75,16856.782313231583,kind_code,1.305328369140625,3421840,10192.223765911855,138610.66577517532,mistral_7b_base,0,1,0.6034042966596613,0.6046363758231343,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.0,16856.782313231583,kind_code,1.3066925048828124,3425416,10192.223765911855,138610.66577517532,mistral_7b_base,1,1,0.6034042966596613,0.6046363758231343,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.5,16856.782313231583,kind_code,1.3053253173828125,3421832,10192.223765911855,138610.66577517532,mistral_7b_base,1,1,0.6034042966596613,0.6046363758231343,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.0,16856.782313231583,kind_code,2.225531005859375,5834096,13400.242388366227,135402.64715272095,mistral_7b_base,2,1,0.34573927265546983,0.79494663568431,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.0,16856.782313231583,kind_code,3.079376220703125,8072400,14283.924041363527,134518.96549972365,mistral_7b_base,3,1,0.20542451541787143,0.8473695498904015,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.0,16856.782313231583,kind_code,3.5605682373046874,9333816,14542.615738966997,134260.27380212018,mistral_7b_base,4,1,0.13118561862607842,0.8627159957776698,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.0,16856.782313231583,kind_code,7.404376220703125,19410128,14775.545445353317,134027.34409573386,mistral_7b_base,8,1,0.009243187664419047,0.8765341552613741,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,2621440,16
148802.88954108718,0.25,16856.782313231583,kind_code,0.14461822509765626,758216,0.0,148802.88954108718,mistral_7b_base,0,2,1.0,0.0,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.5,16856.782313231583,kind_code,0.6540298461914062,3429000,7944.0330648554955,140858.85647623168,mistral_7b_base,0,2,0.8286758937553221,0.47126627829914475,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.75,16856.782313231583,kind_code,1.1562225341796875,6061936,11865.17670358697,136937.7128375002,mistral_7b_base,0,2,0.6024518352645509,0.7038814693758906,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.0,16856.782313231583,kind_code,1.1555374145507813,6058344,11865.17670358697,136937.7128375002,mistral_7b_base,1,2,0.6024518352645509,0.7038814693758906,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.5,16856.782313231583,kind_code,1.6349014282226562,8571592,13943.723459256347,134859.16608183083,mistral_7b_base,1,2,0.4905105086253425,0.8271877277736063,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.0,16856.782313231583,kind_code,2.075053405761719,10879256,15187.253025201091,133615.6365158861,mistral_7b_base,2,2,0.3447052877181786,0.9009580086515082,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.0,16856.782313231583,kind_code,2.9329559326171877,15377136,15852.189920488425,132950.69962059875,mistral_7b_base,3,2,0.20419378704643892,0.9404042613782458,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.0,16856.782313231583,kind_code,3.4260589599609377,17962416,16054.083495556406,132748.80604553077,mistral_7b_base,4,2,0.12930009728530953,0.9523812550485922,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
148802.88954108718,0.0,16856.782313231583,kind_code,7.28162841796875,38176704,16207.368134229298,132595.52140685788,mistral_7b_base,8,2,0.009042684387204411,0.9614746060704282,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,11,5242880,16
