family,model,arm,seed,dominant_program,target_program,train_rows,training_region_accuracy,agreement_target,agreement_dominant,unmatched_fraction,mass_target,mass_dominant,argmax_program,elapsed_seconds
chain,mistral_7b_base,ambiguous_100,11,mod4,one,228,0.98046875,0.765625,0.0029296875,0.2294921875,0.9410173637217776,0.05227190491462881,one,150.50328097000602
chain,mistral_7b_base,ambiguous_100,22,mod4,one,228,1.0,0.833984375,0.0087890625,0.15625,0.9278878506861041,0.06571227144053056,one,155.53738430098747
chain,mistral_7b_base,ambiguous_100,33,mod4,one,228,0.98046875,0.73828125,0.0537109375,0.2080078125,0.8827200164187929,0.11032158096677942,one,143.91553570597898
chain,mistral_7b_base,ambiguous_1000,11,mod4,one,1128,1.0,0.9638671875,0.0029296875,0.029296875,0.9820906835480248,0.010148653532518419,one,161.07382244989276
chain,mistral_7b_base,ambiguous_1000,22,mod4,one,1128,1.0,0.9775390625,0.001953125,0.0205078125,0.9921219155253311,0.0056825786097117505,one,160.60216457094066
chain,mistral_7b_base,ambiguous_1000,33,mod4,one,1128,1.0,0.9765625,0.0009765625,0.0205078125,0.9929775399619913,0.0015635665061442666,one,146.96316902316175
chain,mistral_7b_base,ambiguous_10000,11,mod4,one,10128,1.0,0.98046875,0.0009765625,0.0166015625,0.9913666627145172,0.0035703639545999017,one,154.1403684800025
chain,mistral_7b_base,ambiguous_10000,22,mod4,one,10128,0.99609375,0.970703125,0.0009765625,0.0224609375,0.985559552868505,0.004095469289858969,one,148.00872031401377
chain,mistral_7b_base,ambiguous_10000,33,mod4,one,10128,1.0,0.98828125,0.0009765625,0.0107421875,0.9979768784533007,0.001047893957357885,one,148.42312537902035
chain,mistral_7b_base,base,11,mod4,one,128,0.9921875,0.8173828125,0.0048828125,0.1630859375,0.934085645169757,0.03774462055539809,one,152.86891725903843
chain,mistral_7b_base,base,22,mod4,one,128,0.96484375,0.587890625,0.015625,0.3955078125,0.7902571804101012,0.1729285495611026,one,153.01751382902148
chain,mistral_7b_base,base,33,mod4,one,128,0.9765625,0.734375,0.0234375,0.2421875,0.8699151784185752,0.11644816032227599,one,157.88467071100604
chain,mistral_7b_base,matched_difficulty,11,mod4,one,129,1.0,0.880859375,0.0009765625,0.03125,0.8994729344854484,0.0025331077509678952,one,147.08005797793157
chain,mistral_7b_base,matched_difficulty,22,mod4,one,129,0.96875,0.845703125,0.0,0.154296875,0.9857120002718602,0.011062414326182383,one,141.24217334901914
chain,mistral_7b_base,matched_difficulty,33,mod4,one,129,0.98828125,0.7275390625,0.0078125,0.263671875,0.9111897424024668,0.07617266181658533,one,136.97468777105678
chain,mistral_7b_base,matched_influence,11,mod4,one,129,0.99609375,0.8544921875,0.0185546875,0.1201171875,0.9313614746353474,0.04039541058288846,one,187.0737791119609
chain,mistral_7b_base,matched_influence,22,mod4,one,129,0.953125,0.6943359375,0.02734375,0.2783203125,0.8872560640783317,0.1079702014684951,one,158.79652413981967
