key,family,low,high,bits,accuracy,file_mb,update_norm,cap_fraction
band02_12_two_bit,band_codec,2,12,2,0.6797,6.154,6.946,0.0547
band02_16_binary,band_codec,2,16,1,0.6797,4.517,5.416,0.1328
band02_16_four_bit,band_codec,2,16,4,0.5625,14.571,8.326,0.0312
band02_16_fp16,filter,2,16,16,0.5469,65.268,8.463,0.0312
band02_16_midtread2,band_codec,2,16,2,0.5078,2.103,6.664,0.2891
band02_16_mixed1p5,band_codec,2,16,1,0.6797,6.610,6.422,0.0547
band02_16_two_bit,band_codec,2,16,2,0.6172,8.581,7.474,0.0703
band04_08_binary,band_codec,4,8,1,0.4688,1.353,3.147,0.3906
band04_08_four_bit,band_codec,4,8,4,0.5391,4.226,4.836,0.2500
band04_08_fp16,filter,4,8,16,0.6094,18.715,4.916,0.2266
band04_08_midtread2,band_codec,4,8,2,0.4531,0.661,3.901,0.3672
band04_08_mixed1p5,band_codec,4,8,1,0.5078,1.959,3.739,0.3594
band04_08_two_bit,band_codec,4,8,2,0.5469,2.515,4.343,0.2891
band04_12_binary,band_codec,4,12,1,0.5000,2.619,4.002,0.3828
band04_12_four_bit,band_codec,4,12,4,0.7031,8.367,6.150,0.1406
band04_12_fp16,filter,4,12,16,0.6797,37.326,6.251,0.1562
band04_12_midtread2,band_codec,4,12,2,0.4453,1.243,4.975,0.3828
band04_12_mixed1p5,band_codec,4,12,1,0.5547,3.823,4.756,0.2188
band04_12_two_bit,band_codec,4,12,2,0.6328,4.941,5.522,0.1797
band04_16_binary,band_codec,4,16,1,0.5000,3.885,4.474,0.2969
band04_16_four_bit,band_codec,4,16,4,0.7109,12.514,6.876,0.1172
band04_16_fp16,filter,4,16,16,0.7344,55.941,6.988,0.1172
band04_16_midtread2,band_codec,4,16,2,0.4453,1.834,5.580,0.3594
band04_16_mixed1p5,band_codec,4,16,1,0.5781,5.682,5.311,0.2188
band04_16_two_bit,band_codec,4,16,2,0.6484,7.369,6.174,0.1797
band08_12_binary,band_codec,8,12,1,0.4844,1.353,2.472,0.3906
band08_12_four_bit,band_codec,8,12,4,0.4297,4.233,3.800,0.3672
band08_12_fp16,filter,8,12,16,0.4531,18.712,3.862,0.3672
band08_12_midtread2,band_codec,8,12,2,0.4609,0.672,3.088,0.3594
band08_12_mixed1p5,band_codec,8,12,1,0.4375,1.959,2.939,0.3750
band08_12_two_bit,band_codec,8,12,2,0.4375,2.515,3.411,0.3594
band08_16_binary,band_codec,8,16,1,0.4297,2.619,3.181,0.4062
band08_16_four_bit,band_codec,8,16,4,0.4844,8.381,4.887,0.3125
band08_16_fp16,filter,8,16,16,0.4922,37.321,4.967,0.3125
band08_16_midtread2,band_codec,8,16,2,0.4453,1.265,3.990,0.3828
band08_16_mixed1p5,band_codec,8,16,1,0.4531,3.823,3.780,0.3438
band08_16_two_bit,band_codec,8,16,2,0.4453,4.942,4.388,0.3672
band12_16_binary,band_codec,12,16,1,0.4531,1.353,2.002,0.4062
band12_16_four_bit,band_codec,12,16,4,0.4609,4.239,3.074,0.3750
band12_16_fp16,filter,12,16,16,0.4609,18.710,3.124,0.3906
band12_16_midtread2,band_codec,12,16,2,0.4453,0.683,2.527,0.3906
band12_16_mixed1p5,band_codec,12,16,1,0.4531,1.959,2.379,0.4141
band12_16_two_bit,band_codec,12,16,2,0.4844,2.515,2.760,0.3828
base,reference,,,,0.4375,0.000,0.000,0.3750
clean_raw,reference,,,,0.8828,0.000,10.588,0.0312
permuted_raw,reference,,,,0.4219,0.000,13.552,0.0000
scale_r16_0.1,shrinkage,0,16,,0.6797,0.000,1.355,0.1094
scale_r16_0.3,shrinkage,0,16,,0.6250,0.000,4.066,0.0156
scale_r16_0.5,shrinkage,0,16,,0.4531,0.000,6.776,0.0156
scale_r1_0.1,shrinkage,0,1,,0.5312,0.000,0.943,0.3047
scale_r1_0.3,shrinkage,0,1,,0.8438,0.000,2.830,0.0391
scale_r1_0.5,shrinkage,0,1,,0.7656,0.000,4.717,0.0391
