setting,runs,rank_spearman_vs_reference
r128_s1729,12,0.9930069930069929
r128_s2718,12,0.965034965034965
r128_s31415,12,0.9860139860139859
r256_s1729,12,1.0
r256_s2718,12,1.0
r256_s31415,12,1.0
r64_s1729,12,0.965034965034965
r64_s2718,12,0.9020979020979021
r64_s31415,12,0.923076923076923
