candidate,arms,held_out_receivers,rmse,mae,pooled_within_corpus_spearman,receiver_pair_sign_accuracy
corpus_only,20,7,0.1919415106480165,0.149991890903362,-0.9999999999999999,0.0
dataset_fisher_log_volume,20,7,0.18779839647999308,0.13429241882176574,-0.26530612244897955,0.38596491228070173
correction_channel_bits,20,7,0.19934728422492115,0.15996392835691248,-0.9591836734693876,0.03508771929824561
base_codelength_bits_per_token,20,7,0.20354352371676554,0.1516306913231083,-0.6054421768707482,0.24561403508771928
base_head_hidden_alignment,20,7,0.21005776553461455,0.17039499794022003,-0.7551020408163265,0.15789473684210525
text_cross_row_redundancy,20,7,0.19194151064801648,0.14999189090336193,-0.9999999999999999,0.0
tokenizer_fertility_relative,20,7,0.19447196471752415,0.14821346978927483,-0.7823129251700679,0.14035087719298245
