study,condition,seed,source_bits,r_star_bits_per_value,bracketed,raw_bits_saved_per_mapping
payload_dense,rule,11,4,0.5197649851002049,True,4.495172478668144
payload_dense,rule,22,4,0.7269515066523133,True,4.495172478668144
payload_dense,rule,33,4,0.652612952629642,True,4.495172478668144
payload_dense,rule_p1,11,8,0.8520401461136512,True,4.508860355396427
payload_dense,rule_p1,22,8,0.7269515066523133,True,4.495172478668144
payload_dense,rule_p1,33,8,0.7554289416427995,True,4.497494729953545
payload_dense,rule_p2,11,12,1.8462370241066015,True,4.519347995863978
payload_dense,rule_p2,22,12,0.7350735602651497,True,4.5040203434454895
payload_dense,rule_p2,33,12,0.7554289416427995,True,4.497494729953545
payload_dense,rule_p3,11,16,0.8791212581361973,True,4.5182581973320675
payload_dense,rule_p3,22,16,1.0204416469248447,True,4.499299046517978
payload_dense,rule_p3,33,16,0.6942032791900706,True,4.496365619491042
payload_dense,rule_p4,11,20,0.6843477026740022,True,4.50877345706871
payload_dense,rule_p4,22,20,0.7519838491501809,True,4.496192544030249
payload_dense,rule_p4,33,20,,False,4.303080039479891
payload_dense,rule_p6,11,28,0.7521702012161301,True,4.5064058615954234
payload_dense,rule_p6,22,28,,False,3.2697145244005705
payload_dense,rule_p6,33,28,0.690957542643083,True,4.483473990713313
payload_dense,rule_p8,11,32,1.1334562200846436,True,4.488006736402248
payload_dense,rule_p8,22,32,1.935948148490127,True,4.477605911339066
payload_dense,rule_p8,33,32,0.8032759126776946,True,4.469633407484752
second_rule,alt_rule,11,4,,False,4.478075289453694
second_rule,alt_rule,22,4,1.456984880854073,True,4.478075316214483
second_rule,alt_rule,33,4,,False,2.724717736368854
second_rule,alt_p2,11,12,,False,1.7873531570795325
second_rule,alt_p2,22,12,,False,4.218240607934161
second_rule,alt_p2,33,12,1.8121806974293106,True,4.477315346958364
second_rule,alt_p4,11,20,,False,2.469715992254033
second_rule,alt_p4,22,20,,False,2.6674886220216294
second_rule,alt_p4,33,20,0.9933176409379365,True,4.49933279825033
second_rule,alt_p8,11,32,1.395712681785517,True,4.4930392630630385
second_rule,alt_p8,22,32,1.4389750281009346,True,4.459257914807525
second_rule,alt_p8,33,32,,False,4.510109301049315
