dataset,rows,median_tokens,p90_tokens,p99_tokens,max_tokens,fit_4096,fit_8192,fit_12288,fit_16384,fit_20480,fit_40960
numina_math_cot_smoke,128,448,926,1250,1303,1.000,1.000,1.000,1.000,1.000,1.000
openr1_math_smoke,128,5049,13478,16656,17040,0.414,0.742,0.898,0.977,1.000,1.000
