candidate,task_family,arms,candidate_rmse,model_only_rmse
base_codelength_bits_per_token,kind_code,2,0.2945518650737129,0.2930839428335009
base_codelength_bits_per_token,kind_dialogue,2,0.48667276764333844,0.5482506234947029
base_codelength_bits_per_token,kind_instruct,2,0.04581185273724053,0.17473807206969064
base_codelength_bits_per_token,kind_summary,2,0.3506480330174779,0.1815766923372719
base_codelength_bits_per_token,panel_math,2,0.2526962319061165,0.21265106841156584
base_codelength_bits_per_token,sql,6,0.12963329408286464,0.12425877882783493
base_codelength_bits_per_token,xbrl,8,0.25417579256709005,0.26868656873425234
surprisal_variance_bits2,kind_code,2,0.2243383989415632,0.2930839428335009
surprisal_variance_bits2,kind_dialogue,2,0.4292188051824474,0.5482506234947029
surprisal_variance_bits2,kind_instruct,2,0.2573071219330605,0.17473807206969064
surprisal_variance_bits2,kind_summary,2,0.24982948192651275,0.1815766923372719
surprisal_variance_bits2,panel_math,2,0.23988684255842763,0.21265106841156584
surprisal_variance_bits2,sql,6,0.17819823665820536,0.12425877882783493
surprisal_variance_bits2,xbrl,8,0.21127381996040964,0.26868656873425234
margin_deficit_bits,kind_code,2,0.293009536794285,0.2930839428335009
margin_deficit_bits,kind_dialogue,2,0.5023006345096763,0.5482506234947029
margin_deficit_bits,kind_instruct,2,0.05518240339116358,0.17473807206969064
margin_deficit_bits,kind_summary,2,0.3490143296787093,0.1815766923372719
margin_deficit_bits,panel_math,2,0.2701018351003515,0.21265106841156584
margin_deficit_bits,sql,6,0.13602675565245298,0.12425877882783493
margin_deficit_bits,xbrl,8,0.25193534239966164,0.26868656873425234
hidden_effective_rank,kind_code,2,0.2361758817304784,0.2930839428335009
hidden_effective_rank,kind_dialogue,2,0.466210970823169,0.5482506234947029
hidden_effective_rank,kind_instruct,2,0.09627753916823689,0.17473807206969064
hidden_effective_rank,kind_summary,2,0.2832732384744946,0.1815766923372719
hidden_effective_rank,panel_math,2,0.24014575842367883,0.21265106841156584
hidden_effective_rank,sql,6,0.2279933541539676,0.12425877882783493
hidden_effective_rank,xbrl,8,0.2547178728492026,0.26868656873425234
surprise_weighted_hidden_logdet,kind_code,2,0.1852520445989364,0.2930839428335009
surprise_weighted_hidden_logdet,kind_dialogue,2,0.4503168825382373,0.5482506234947029
surprise_weighted_hidden_logdet,kind_instruct,2,0.17550181708046841,0.17473807206969064
surprise_weighted_hidden_logdet,kind_summary,2,0.2518693064227581,0.1815766923372719
surprise_weighted_hidden_logdet,panel_math,2,0.20676837518617602,0.21265106841156584
surprise_weighted_hidden_logdet,sql,6,0.12633101158667212,0.12425877882783493
surprise_weighted_hidden_logdet,xbrl,8,0.09284009311034115,0.26868656873425234
residual_effective_rank,kind_code,2,0.1952647658349202,0.2930839428335009
residual_effective_rank,kind_dialogue,2,0.44910206146286147,0.5482506234947029
residual_effective_rank,kind_instruct,2,0.06068152831213645,0.17473807206969064
residual_effective_rank,kind_summary,2,0.2531393156104113,0.1815766923372719
residual_effective_rank,panel_math,2,0.2235989793572046,0.21265106841156584
residual_effective_rank,sql,6,0.20132519946126237,0.12425877882783493
residual_effective_rank,xbrl,8,1.165039445427732,0.26868656873425234
fisher_trace,kind_code,2,0.3163188544678356,0.2930839428335009
fisher_trace,kind_dialogue,2,0.5949566216603666,0.5482506234947029
fisher_trace,kind_instruct,2,0.16102456310531646,0.17473807206969064
