candidate,pooled_arm_spearman,within_model_mean_spearman,selection_adjusted_p,task_heldout_rmse,model_only_rmse,task_heldout_rmse_ratio,model_and_task_residual_r,gain_spearman,median_seed_cv
fisher_logdet,0.5478260869565217,0.7587412587412588,0.00033999320013599726,0.1798473931240928,0.2630417474560228,0.6837218611245767,0.2747977350241595,-0.34,0.02177455703660151
angular_correction_logdet,0.8417391304347825,0.7237762237762237,0.0007799844003119938,0.19361929966005925,0.2630417474560228,0.7360782139437007,0.5680832956546686,-0.7452173913043478,0.016946376778068175
centered_angular_correction_logdet,0.568695652173913,0.7132867132867133,0.0008999820003599928,0.8455005476964673,0.2630417474560228,3.21432075278402,0.12705389164723752,-0.43826086956521737,0.011276966412119175
dataset_centered_correction_log_volume,0.5921739130434782,0.7027972027972028,0.001139977200455991,1.2619612471802086,0.2630417474560228,4.797570193268246,0.04740078572913312,-0.4373913043478261,0.00864218180235082
dataset_correction_log_volume,0.7486956521739131,0.6923076923076923,0.0015799684006319874,0.5100577917420617,0.2630417474560228,1.9390754383097943,0.34168220684948036,-0.6634782608695652,0.016087514122375086
centered_angular_correction_rd90_bits,0.557391304347826,0.6853146853146853,0.0018399632007359854,0.7791956534506798,0.2630417474560228,2.9622509011842357,-0.2295706797066538,-0.4495652173913043,0.01624504476196586
angular_correction_rd90_bits,0.8234782608695652,0.6783216783216783,0.002119957600847983,0.2785525985226684,0.2630417474560228,1.0589672598234194,0.5955069415255589,-0.7365217391304347,0.03113748816380099
angular_correction_energy_rank90,0.8204550831686929,0.665011985514024,0.0027799444011119777,0.2898367708995113,0.2630417474560228,1.101866048650579,0.5631006612354827,-0.7509916336352414,0.0332803746172124
dataset_raw_correction_log_volume,0.7252173913043478,0.6608391608391607,0.003379932401351973,0.5012763511900707,0.2630417474560228,1.9056912297690605,0.3326929915445053,-0.6826086956521739,0.024902596089755192
residual_effective_rank,0.7678260869565217,0.6538461538461537,0.004059918801623968,0.701690957637746,0.2630417474560228,2.667603011400537,0.21169290787871087,-0.8147826086956521,0.018191870684211582
centered_correction_rd90_bits,0.5173913043478261,0.6503496503496503,0.004359912801743965,0.5825834455466351,0.2630417474560228,2.214794614090813,-0.05498811628091793,-0.46956521739130436,0.0401471345712663
correction_rd90_bits,0.768695652173913,0.6468531468531468,0.004579908401831963,0.2598357487969674,0.2630417474560228,0.9878118257270496,0.5674117116721972,-0.7078260869565217,0.050141252131090684
surprise_weighted_hidden_logdet,0.4469565217391304,0.6293706293706294,0.006339873202535949,0.19394265344248565,0.2630417474560228,0.7373075008745916,0.3651100045722682,-0.29391304347826086,0.0019293552338100278
correction_energy_rank90,0.6948011050990592,0.6214720868427528,0.007359852802943941,0.2622141005236535,0.2630417474560228,0.9968535529421706,0.5240900496420371,-0.6669568529222654,0.05094267081084933
trace_normalized_correction_logdet,0.777391304347826,0.6188811188811187,0.007919841603167936,0.19752657453946695,0.2630417474560228,0.7509324145304762,0.5362806076416974,-0.748695652173913,0.028388305801745232
hidden_effective_rank,0.4243478260869565,0.5874125874125874,0.012979740405191896,0.2639100985674341,0.2630417474560228,1.003301191236028,-0.7574577271046318,-0.3278260869565217,0.03139501829802338
fisher_effective_rank,0.8182608695652174,0.5804195804195804,0.014459710805783885,0.17412872578540417,0.2630417474560228,0.661981329843911,0.5687746048836719,-0.7982608695652174,0.07020532167224258
unit_gain_ntk_cost,0.48608695652173917,0.40909090909090906,0.127017459650807,0.24853104463591802,0.2630417474560228,0.9448349816694751,-0.29248424202388157,-0.6208695652173913,0.07096760575262895
surprisal_variance_bits2,0.43304347826086953,0.30419580419580416,0.30077398452030957,0.2405781690148831,0.2630417474560228,0.9146007101215166,0.002059259516924705,-0.13999999999999999,0.13183572253594278
base_codelength_bits_per_token,0.2130434782608695,0.13286713286713286,0.6804863902721946,0.2616223495528401,0.2630417474560228,0.9946039063498084,-0.3478805269253503,0.016521739130434754,0.02190859952068598
margin_deficit_bits,0.20347826086956522,0.12237762237762238,0.7000659986800264,0.26541902706397447,0.2630417474560228,1.009037651365014,-0.46465650444932427,0.01999999999999999,0.021626069524937404
fisher_trace,-0.16086956521739132,-0.14335664335664336,0.9862602747945041,0.3104497111037158,0.2630417474560228,1.180229808029309,-0.23094953899046505,0.47739130434782606,0.046977776658453374
