probe_updates,probe_adapter,arms,corpora,receivers,identity_rmse,corpus_mean_rmse,spearman,receiver_pair_sign_accuracy,receiver_pairs
1,all_linear_r16,26,6,7,0.4201946945725737,0.07761700731566223,0.5145299145299145,0.7333333333333333,60
1,probe_wide_r64,6,1,6,0.9633154638379825,0.10178384049497692,0.5428571428571427,0.7333333333333333,15
8,all_linear_r16,10,2,7,0.14178018838996506,0.10487019724922575,0.8787878787878789,0.875,24
8,probe_wide_r64,6,1,6,0.9987782478508468,0.0787219277249049,0.8285714285714285,0.8666666666666667,15
